t,g,λ_ii,c,L_tilde,Ω,π_rat,L_tilde_a,L_tilde_x,L_tilde_E,r
0.0,0.007980531098440907,0.862824483699765,0.8960304390303069,0.22383989623234016,0.9612872210264621,2.15919460060863,0.10107738412548557,0.027721760724787214,0.09504075138206734,0.048230921613245895
0.21994049335247468,0.008006539103389486,0.862746848786758,0.8957842081079239,0.22394521604304757,0.9605697198557835,2.15948850355646,0.10112689782431458,0.027733202234747137,0.09508511598398584,0.048236435923819834
0.5,0.00804062571247999,0.8626490031206631,0.8954656303241982,0.2240846207008414,0.9596630255143968,2.1598598190974796,0.10119505999379586,0.02774751565235126,0.09514204505469429,0.04820889062073266
1.0,0.00810608230332793,0.8624662997779724,0.8948695672940571,0.2243618135085998,0.9580635152274048,2.1605607917444436,0.1013400647159907,0.027776842437012204,0.09524490635559688,0.0482468072779267
1.5,0.008173583943135243,0.8622798196648205,0.894261586993662,0.22465407303165089,0.9564885758189913,2.161281048622647,0.10149641297931436,0.027808315957926977,0.09534934409440952,0.048346852576645324
2.0,0.008238615982638909,0.862097224189531,0.8936685612632126,0.2249366393394224,0.9549380948186902,2.1619857345423794,0.10164250555475161,0.027838766641189377,0.09545536714348142,0.04850426863490715
2.5,0.008296663772575909,0.8619262251948773,0.8931171827197019,0.22518487144820473,0.9534119616187267,2.1626396641441814,0.1017568826078943,0.027865004401210966,0.09556298443909947,0.048714286674255425
3.0,0.00834321266368322,0.8617745795743228,0.8926339686940983,0.2253742455497123,0.9519100674608324,2.163207364177533,0.10181821821594544,0.0278838223510623,0.09567220498270455,0.04890949719070917
3.239590055306243,0.008360120582252798,0.8617110536716054,0.8924343008281141,0.2254369788195801,0.951198948508177,2.1634383922825666,0.10182259842124058,0.02788926826430205,0.09572511213403746,0.04895191682755487
3.5,0.008377403635144576,0.8616423777724088,0.892223260352487,0.22550092148366643,0.9504323054233557,2.163687716700809,0.101822693324131,0.027895190317419376,0.09578303784211606,0.04890628387940975
4.0,0.008414990882117982,0.8614969419318108,0.8917901376971613,0.22565348496065268,0.9489785704085749,2.1642274741183374,0.10184536195078785,0.027912630857109107,0.09589549215275574,0.048912461961931
4.5,0.00845471718129178,0.8613447689752698,0.8913432270148506,0.2258232084615533,0.9475486874217709,2.164798808238889,0.10188018619922143,0.02793345240925792,0.09600956985307392,0.04820211962851016
5.0,0.008492237336865431,0.8611991477064107,0.890562486166759,0.22628727282099564,0.9461520980251124,2.1653880405464587,0.10190758804297445,0.027952443000612233,0.09642724177740895,0.047858623936891956
5.5,0.008523206153038391,0.8610734355414712,0.8896129347237354,0.22690463052988874,0.9448155814949081,2.1659214322515687,0.10190998708257441,0.02796488254925968,0.09702976089805466,0.048035276416087805
6.0,0.008543278434010121,0.8609810426353579,0.8887291300282518,0.22746974851857796,0.9435435227091011,2.1663140152317153,0.10186750933276127,0.027965379135114234,0.09763686005070243,0.04820470749593814
6.259239617260011,0.008547960132724977,0.8609506938292152,0.8883056356173272,0.22773343304969818,0.9429081852028879,2.1664424348861737,0.10182099658425922,0.02795907730465089,0.09795335916078805,0.048264778134535606
6.5,0.008550272427888044,0.8609285329836992,0.8879243504670423,0.22796926053413932,0.94233268782972,2.1665363932133492,0.10176974953446302,0.027951157732579206,0.0982483532670971,0.048256374211016695
7.0,0.00855539295074566,0.8608802215112884,0.8871282845811966,0.2284711029612278,0.9411832517259254,2.1667452615925455,0.10166971852188311,0.02793698191452556,0.09886440252481914,0.048247382860768795
7.5,0.0085608772208821,0.8608292896067967,0.8863266785189365,0.2289894530224876,0.9400979183068664,2.1669709403813258,0.10157826526197775,0.027925749777639938,0.0994854379828699,0.048239534988746446
8.0,0.008566645259668163,0.8607763055299943,0.885519893826924,0.22952404052839914,0.9390774560403061,2.167211135768065,0.1014950964962047,0.027917252105926736,0.10011169192626772,0.048233224197327
8.5,0.008572617088474649,0.860721838490071,0.8847085003779733,0.23007394813758952,0.9381199725281002,2.167463305117177,0.10141963362440404,0.027911201215641147,0.10074311329754437,0.04822812123826857
9.0,0.008578712728672352,0.8606664587362305,0.8838929559240735,0.23063858793868927,0.9372249301288144,2.167725021828944,0.10135144629666747,0.027907349977006782,0.10137979166501504,0.048435640074247985
9.5,0.008584852201632074,0.8606107376191867,0.8831671039491221,0.23113597590369814,0.9363912537373352,2.1679817730361934,0.10129004767498925,0.02790543537820297,0.1019404928505059,0.049070201551804624
10.0,0.008590955528724615,0.8605552476234632,0.8827191645462671,0.23139880696436918,0.935600114428597,2.1682053168236073,0.10123303127029258,0.027904664794430364,0.10226111089964625,0.0490729663513719
10.5,0.008596942731320773,0.8605005623703819,0.8822699795942448,0.2316686187358291,0.9348437514502445,2.168428561554167,0.10117918747712135,0.027904574022193002,0.10258485723651477,0.04907681736420878
11.0,0.008602733830791347,0.8604472565916295,0.8818200813487392,0.23194483334692811,0.9341220815164734,2.168649054301054,0.10112813803769502,0.027904927267373557,0.10291176804185954,0.049081671693846377
11.5,0.008608248848507137,0.8603959060732873,0.881369999700516,0.2322268744719442,0.9334350252032841,2.168864334926508,0.10107950608103236,0.027905488612182852,0.103241879778729,0.04908744699130442
12.0,0.008613407805838937,0.860347087570222,0.8809202624171544,0.23251416718271722,0.9327825069339137,2.1690719363622737,0.10103291598423693,0.02790602199923164,0.10357522919924864,0.049094061397180075
12.5,0.008618130724157552,0.8603013786907409,0.8804713953617215,0.2328061378253855,0.9321644549649819,2.1692693851061264,0.10098799323439779,0.02790629123954806,0.10391185335143965,0.04910143744637524
13.0,0.008622337624833776,0.8602593577514365,0.8800239244320572,0.23310220890596176,0.9315807813281418,2.169454200053966,0.10094436211899065,0.027906059444119023,0.10425178734285208,0.04910933523612178
13.5,0.008625948529238411,0.860221603602162,0.8795783041264058,0.23340200433256647,0.9310322010047543,2.1696239704630766,0.10090173436742682,0.027905113631121706,0.10459515633401797,0.049118142384275865
14.0,0.008628883458742255,0.8601886954211088,0.8791351935682307,0.23370455793295047,0.9305170733630184,2.1697760601710945,0.10085956671566897,0.02790317014973589,0.10494182106754564,0.04944198524398383
14.5,0.008631062434716107,0.8601612124799832,0.8788333072150007,0.23388792462172256,0.9300301479160433,2.169889521088298,0.10081692465124481,0.02789983699727328,0.10517116297320446,0.04949824340875986
15.0,0.008632405478530766,0.8601397338793226,0.8785552799838259,0.23405360433477534,0.9295675360800959,2.169976889572132,0.10077302120105838,0.027894763010426087,0.1053858201232909,0.049508156647565776
15.303604660706023,0.008632779172561295,0.8601298671376684,0.8783887876999094,0.23415352438537196,0.9292977817592295,2.1700173390617508,0.10074551453032443,0.027890711780444822,0.1055172980746027,0.049511297926035994
15.5,0.008632901076729023,0.8601242332420319,0.8782815816029353,0.2342183637855088,0.9291277211717875,2.1700406905664384,0.10072764472603637,0.027887916456204545,0.1056028026032679,0.04950891975611388
16.0,0.008633155338448165,0.8601093552731143,0.8780076086930719,0.2343872051947716,0.9287105627850512,2.170103814319073,0.10068360128021042,0.027881489858251823,0.10582211405630935,0.049505456479851294
16.5,0.008633340875246368,0.8600938216638184,0.877732089744158,0.23456149455075861,0.9283161368579897,2.170171761084497,0.10064170217222704,0.02787600970072625,0.10604378267780536,0.049501816468095004
17.0,0.008633472508795516,0.8600777731364195,0.8774549788782225,0.23474121364334855,0.9279442470174774,2.1702439394075985,0.10060199537575742,0.027871412702181148,0.10626780556540995,0.049498023063819174
17.5,0.008633565060767491,0.8600613504853601,0.8771762340229734,0.23492633298613386,0.9275946536072919,2.1703197532637533,0.10056452402123625,0.02786763434290692,0.10649417462199072,0.04949401317817137
18.0,0.008633633352834177,0.8600446945828402,0.876895779010827,0.23511691836624052,0.9272674941635265,2.1703986419359977,0.10052937199856925,0.027864621479999997,0.10672292488767125,0.04948977818124968
18.5,0.00863369220666746,0.8600279463826388,0.8766135275044094,0.23531306275420108,0.9269630129990862,2.170480054402886,0.10049663465742951,0.02786232421615879,0.10695410388061276,0.04961232899580413
19.0,0.008633756443939218,0.8600112469221638,0.8763850402652205,0.23546598579474914,0.9266795779972288,2.1705559842826285,0.10046620381415922,0.02786063626302547,0.10713914571756446,0.04973586950327316
19.5,0.008633840886321343,0.8599947373227307,0.8762107065258167,0.2355743366705617,0.9264115990689618,2.1706253170446472,0.1004375420928317,0.02785933226170358,0.1072774623160264,0.049732941207719046
20.0,0.008633960355485712,0.8599785587880636,0.8760350878324571,0.23568623879494363,0.9261578669918481,2.170694632093414,0.100410586993229,0.027858318458575965,0.1074173333431387,0.04972829836124566
21.0,0.008634363660848724,0.8599477601185476,0.8756797857628482,0.23592078999473368,0.9256932123063983,2.17083089282014,0.10036207821976532,0.02785693383065515,0.10770177794431321,0.04972202566801376
22.0,0.008635084933403328,0.8599199820226827,0.8753187841500757,0.23616962886591314,0.9252849821561026,2.170960054874303,0.10032115671818978,0.02785600380255569,0.10799246834516765,0.04971546459169904
23.0,0.008636242746524586,0.8598963565333656,0.874951559635597,0.23643322062289396,0.9249344128580137,2.1710775772751822,0.10028850376208374,0.027855105700775925,0.10828961116003426,0.049876970890501526
24.0,0.008637955673587574,0.8598780162459657,0.8747247387262097,0.23658221368986576,0.9246347980006538,2.1711588613306287,0.10026393922531289,0.027853577312460784,0.10846469715209209,0.05000581375589201
24.347969704152035,0.008638703673699774,0.8598730818169333,0.874684518596794,0.23660097783433945,0.9245360980064219,2.1711764761928083,0.10025669557741164,0.027852620525595367,0.10849166173133243,0.05000454354017296
25.0,0.008640240117301115,0.8598642587136662,0.8746080076278874,0.23663812241094598,0.9243572410138984,2.1712083780501596,0.10024440399517026,0.02785083732235295,0.1085428810934228,0.05000307740226004
26.0,0.00864277908055372,0.8598496210301857,0.8744880522458555,0.23670027273293673,0.9240983501459402,2.171263553197551,0.10022806336158331,0.02784901673220467,0.10862319263914877,0.05000246551512273
27.0,0.00864547635867911,0.8598340234260968,0.8743653583173306,0.23676825530419762,0.9238581097579507,2.171324657425099,0.10021447079324859,0.027848147852920363,0.10870563665802863,0.05000256163597763
28.0,0.008648261021432941,0.8598178947870789,0.8742404075634708,0.23684156358563724,0.9236364777385142,2.1713898374870766,0.10020329421899096,0.02784805447338445,0.10879021489326188,0.049971263454424264
29.0,0.008651062138570868,0.8598016642321374,0.8740856828317058,0.23694443130003348,0.9234351158716384,2.1714610761013415,0.10019438681762832,0.0278486117798581,0.10890143270254708,0.0499674686316851
30.0,0.00865380877984854,0.859785761125705,0.8739252211061923,0.2370563857881499,0.9232573847192991,2.1715336982586924,0.10018778651363688,0.027849746216601447,0.10901885305791154,0.04996875794320951
31.0,0.008656430015021612,0.8597706150733402,0.8737635154752093,0.2371733414131968,0.9231028079586077,2.171605280853828,0.1001831152339754,0.02785126848701857,0.10913895769220282,0.049970462628989756
32.0,0.008658854913845736,0.8597566559010058,0.8736010390663511,0.23729479898934489,0.922971353248957,2.171673966250772,0.10018004321920129,0.02785300258188807,0.10926175318825547,0.05000562436985477
33.0,0.008661012546076567,0.8597443136179084,0.8734671869592814,0.2373949232696211,0.9228625054951719,2.171734030665551,0.10017818837120454,0.027854757808306017,0.10936197709011053,0.0501527990389385
34.0,0.008662831981469757,0.8597340183628879,0.8734600127597691,0.23738551366841032,0.9227619409333568,2.171769502806451,0.1001756694792569,0.027855926501464224,0.10935391768768919,0.05015767457429285
35.0,0.008664242289780957,0.8597262003343484,0.8734555079824471,0.23737352891044589,0.922662650303713,2.1717943860157374,0.10017139895662318,0.02785612153397921,0.1093460084198435,0.050162809005830325
36.0,0.008665172540765823,0.8597212897037317,0.8734542560735831,0.23735819052315837,0.9225635596723634,2.171806716302883,0.10016493353378571,0.02785513496467892,0.10933812202469378,0.05016552504847568
37.0,0.008665867268704459,0.8597178493675515,0.8734545639729968,0.23734131542735665,0.9224650613600187,2.171812750607009,0.10015744480109508,0.027853565623770542,0.10933030500249102,0.05014230971493395
38.0,0.008666612108106158,0.8597141833304757,0.8734339877625035,0.23734298154163105,0.9223680791274036,2.1718226152694027,0.10015035118807153,0.02785213394959089,0.10934049640396862,0.05011879579126627
39.0,0.008667397779070352,0.8597103333488718,0.8733922243646998,0.23736413667900622,0.9222765499641552,2.1718365077467907,0.10014403732254473,0.027850941772303718,0.10936915758415776,0.050118614282289906
40.0,0.008668215001696476,0.8597063411837759,0.8733496182771798,0.23738726328474846,0.9221919229053502,2.171851686003253,0.10013861775539684,0.027850015818245224,0.10939862971110638,0.0501185580728233
41.0,0.008669054496083961,0.859702248601497,0.8733062514940432,0.23741223893244764,0.9221139511796608,2.1718679443375204,0.10013402293281201,0.02784933161252729,0.10942888438710832,0.0501185932431666
42.0,0.00866990698233224,0.8596980973740692,0.87326218447826,0.23743899992705217,0.9220426161848279,2.171885099064652,0.1001302080947155,0.027848871573167493,0.1094599202591692,0.05009821724659695
43.0,0.008670763180540745,0.8596939292795465,0.8731995827870033,0.23748329616978425,0.9219789665163478,2.1719054238023365,0.10012724439522412,0.02784865035477479,0.10950740141978538,0.050093360523529015
44.0,0.008671613810808911,0.8596897861021434,0.8731319974348707,0.23753365492202097,0.9219251016987308,2.1719271292773974,0.100125317155405,0.027848714365564214,0.10955962340105174,0.05009325639594654
45.0,0.008672449593236167,0.85968570963222,0.8730635837491129,0.2375864556111623,0.921881112248155,2.1719494993883393,0.1001243935452855,0.027849049337859394,0.10961301272801739,0.05009322370153804
46.0,0.008673261247921952,0.8596817416661119,0.8729944172481062,0.23764159015026073,0.9218468030001287,2.171972333568849,0.10012440971250315,0.027849632371080523,0.10966754806667708,0.050101713822695175
47.0,0.008674039494965693,0.8596779240058042,0.8729319589797055,0.23769257490569404,0.921822401728159,2.171994488963649,0.1001253477399048,0.027850453336782374,0.1097167738290069,0.05016185643692388
48.0,0.008674775054466824,0.8596742984584514,0.8729213240637658,0.23769906707453742,0.9218025619559201,2.1720093661885214,0.10012658423208047,0.027851333681799866,0.10972114916065709,0.05016286047803689
49.0,0.00867545864652478,0.8596709068357398,0.8729109236378914,0.23770549448256692,0.921783772184834,2.1720233241663713,0.10012769503374883,0.027852150258335245,0.10972564919048286,0.05016387191806418
50.0,0.008676080991238991,0.8596677909530971,0.8729008095146438,0.23771181824031246,0.921766113505334,2.1720361881921804,0.1001286461940566,0.02785288845146017,0.10973028359479566,0.050164890421266206
51.0,0.008676632808708892,0.8596649926287434,0.8728910413117116,0.23771797818709434,0.9217495845154984,2.1720477755533483,0.10012939480338603,0.02785353115221404,0.10973505223149425,0.05016917442547662
52.0,0.008677104819033913,0.8596625536825899,0.8728845309800838,0.23772139360552932,0.9217340145976909,2.1720575115021616,0.10012987957063117,0.02785405613701539,0.10973745789788275,0.050174435782936164
53.0,0.008677487742313488,0.8596605159349798,0.8728822012228705,0.23772115272154115,0.9217188438343106,2.172065051870543,0.10012999691242822,0.02785442941674049,0.10973672639237243,0.05017553028892138
54.0,0.008677772298647052,0.8596589212052747,0.8728804925983171,0.23772030461601806,0.9217037785228702,2.172070668576527,0.10012967216285266,0.02785462504680518,0.1097360074063602,0.05017658024622497
55.0,0.008677949208134035,0.8596578113102847,0.8728794520796319,0.23771882359532917,0.9216889509969044,2.1720741918724378,0.1001288769395185,0.027854629960104398,0.10973531669570628,0.05017723316237885
55.199999999999996,0.008677970855778592,0.8596576511910514,0.8728793270753156,0.2377184524672545,0.9216860384133189,2.1720746316211543,0.10012866032478869,0.027854607292236155,0.10973518485022965,0.050177187348299485
56.0,0.008678061681358202,0.8596569989108735,0.8728787799495021,0.23771705160747555,0.9216746181304851,2.172076465540407,0.10012783837512362,0.02785452838765333,0.10973468484469859,0.050175528590622784
57.0,0.008678205836627664,0.8596560618957952,0.872876568871152,0.23771674796100192,0.9216608616701057,2.1720795120844762,0.10012700846693605,0.027854495089755,0.1097352444043109,0.0501749914229368
58.0,0.008678370407427095,0.8596550437658039,0.872873763089268,0.23771704917993783,0.9216475063786574,2.1720830099921566,0.10012631623470315,0.02785450701506532,0.10973622593016934,0.05017510014521823
59.0,0.008678540811235088,0.8596540024529161,0.872870908567855,0.23771741985862263,0.921634279855965,2.1720866220295916,0.10012566485900166,0.027854532285874388,0.10973722271374656,0.05017532773129556
60.0,0.008678702465530236,0.8596529958912259,0.8728681039683546,0.23771774986007135,0.9216211073946171,2.1720900868608424,0.10012497900079072,0.027854544998636602,0.10973822586064404,0.050174644678594935
61.0,0.008678840787791136,0.8596520820168755,0.8728645620627522,0.23771878192169152,0.9216083663386312,2.1720932985932313,0.10012423243583937,0.02785453291209634,0.10974001657375579,0.050160427648952705
62.0,0.008678941195496385,0.859651318767726,0.8728484900343525,0.23773095476653194,0.9215969171358147,2.1720976498236366,0.10012345142947708,0.027854498386865403,0.10975300495018947,0.05016065478445801
63.0,0.008678989106124572,0.859650764082732,0.8728325289140257,0.2377433972458411,0.9215877826125481,2.1721013105167213,0.1001226798920735,0.02785444869242893,0.10976626866133862,0.05016087989613431
64.0,0.008678969937154297,0.8596504759010153,0.8728167227495923,0.23775614765420297,0.9215814629520952,2.172104075014609,0.10012190495404015,0.02785437530240418,0.10977986739775863,0.05016113691493087
64.8,0.008678896505212799,0.8596504761724546,0.8728042708704034,0.23776645411430675,0.9215782222660968,2.172105450081651,0.10012121439315771,0.027854277243377763,0.10979096247777126,0.050161207006399686
65.0,0.008678869833649645,0.8596505059842481,0.872801182981843,0.237769051906921,0.9215776898102742,2.1721056897178004,0.10012103360277298,0.027854248982847322,0.10979376932130067,0.050168062067146836
66.0,0.008678710789116001,0.8596506842386242,0.8727917500014287,0.23777699503260855,0.9215761983811593,2.172106069023804,0.10012013845045281,0.02785413115307122,0.10980272542908451,0.05017933833933165
67.0,0.008678536634748315,0.8596508796665264,0.8727922977222515,0.23777633102943327,0.9215753483657814,2.172105108518188,0.10011924333393588,0.027854025700856287,0.1098030619946411,0.050179050232247904
68.0,0.008678385145131692,0.8596510493334198,0.8727927459863084,0.23777570940847645,0.9215742169409764,2.172104245056533,0.1001184221208874,0.02785392225745959,0.10980336503012943,0.05017853349743519
69.0,0.008678294094851245,0.8596511503050136,0.8727928754671324,0.23777534663281394,0.9215729002949435,2.1721036951321313,0.10011785938407154,0.027853841252954252,0.10980364599578815,0.05017795425447327
69.6,0.008678284189791743,0.8596511600535945,0.8727926975009941,0.23777537429452153,0.9215721816945411,2.1721036173894475,0.10011773565917609,0.02785381555509203,0.10980382308025342,0.05017772512203035
70.0,0.008678290486011377,0.8596511563835585,0.8727925023209121,0.23777547236747054,0.9215717647210039,2.172103623410428,0.1001177193825509,0.027853804450244702,0.10980394853467491,0.05017728157698255
71.0,0.008678287674378027,0.8596511648199393,0.8727916217531204,0.23777609532208882,0.9215709402798214,2.172103635298121,0.10011761685664237,0.027853776088983474,0.10980470237646299,0.05017733934550293
72.0,0.008678227909810838,0.8596511282464353,0.872790794060016,0.23777671897927596,0.9215703350982283,2.172103846668735,0.10011727562552893,0.02785377272463232,0.10980567062911473,0.05017736703723694
73.0,0.008678155362895533,0.8596511841147249,0.8727900426986821,0.23777728532987763,0.9215698824016022,2.1721036746769586,0.10011689204000788,0.027853736240620194,0.10980665704924956,0.05017763357885109
73.2,0.008678126080185337,0.8596511287954977,0.8727899516171032,0.23777736312390793,0.9215698131167316,2.172103911956697,0.10011674953420076,0.027853756724043208,0.10980685686566398,0.0501771960510094
73.8,0.008678089628765191,0.8596512089658366,0.8727894645851674,0.23777774545085203,0.9215696536469529,2.172103628172217,0.1001165641867733,0.027853719184178383,0.10980746207990036,0.05012588909558294
74.0,0.008679947903036188,0.8596549000356597,0.872780352617651,0.23778500302022765,0.9215696156072505,2.172089415332275,0.10012512578233454,0.027852211618741067,0.10980766561915205,0.05020514743602607
74.39999999999999,0.008678016879178359,0.8596512383812049,0.872789150124905,0.23777799809285483,0.9215695597439161,2.1721035390488965,0.10011621864572652,0.027853704340712455,0.10980807510641584,0.05017900097384162
74.69999999999999,0.008677884650473084,0.8596509009613461,0.8727894077970865,0.2377778323205753,0.9215695361696435,2.1721049122591403,0.10011560657561955,0.027853841339845423,0.10980838440511034,0.05016677665570668
74.85,0.008678150784549745,0.8596514107915406,0.8727879535572719,0.23777900552296038,0.9215695302760756,2.1721029749551537,0.10011683268211605,0.02785363308415151,0.10980853975669282,0.05017789414968157
74.925,0.00867813717074732,0.8596514129757156,0.8727879367581854,0.23777901952537586,0.9215695288026835,2.172102967933489,0.10011676976914036,0.027853632148191747,0.10980861760804374,0.05019321910678441
75.0,0.008677959292468503,0.8596519588506745,0.8727889240086315,0.23777805470696362,0.9215695283115529,2.1721005571087466,0.10011594978470878,0.02785340934582006,0.10980869557643477,0.0501779592924685
